state;state_abbreviation;county;fips;party;candidate;votes;fraction_votes
Connecticut;CT;Cheshire;90900025;Republican;Donald Trump;1364;0.5660000000000001
Connecticut;CT;Darien;90900035;Republican;Donald Trump;1070;0.415
Connecticut;CT;Groton;90900059;Republican;John Kasich;561;0.306
Connecticut;CT;Killingly;90900069;Republican;John Kasich;115;0.159
Connecticut;CT;North Canaan;90900100;Republican;John Kasich;62;0.24600000000000002
Connecticut;CT;Pomfret;90900112;Republican;Donald Trump;186;0.547
Connecticut;CT;Seymour;90900124;Republican;Ted Cruz;113;0.10099999999999999
Connecticut;CT;Wethersfield;90900159;Republican;Ted Cruz;220;0.11
Connecticut;CT;Winchester;90900162;Republican;Donald Trump;424;0.642
Connecticut;CT;Winchester;90900162;Republican;Ted Cruz;85;0.129
Connecticut;CT;Windsor;90900164;Republican;Donald Trump;742;0.515
Florida;FL;Gadsden;12039;Democrat;Hillary Clinton;7446;0.764
Florida;FL;Hernando;12053;Democrat;Bernie Sanders;5512;0.37
Florida;FL;Manatee;12081;Democrat;Hillary Clinton;18116;0.625
Florida;FL;Okeechobee;12093;Democrat;Hillary Clinton;1150;0.552
Florida;FL;Union;12125;Democrat;Bernie Sanders;472;0.516
Florida;FL;Alachua;12001;Republican;John Kasich;1902;0.079
Florida;FL;Charlotte;12015;Republican;Donald Trump;16525;0.5479999999999999
Florida;FL;Franklin;12037;Republican;Donald Trump;629;0.516
Florida;FL;Franklin;12037;Republican;John Kasich;73;0.06
Florida;FL;Jackson;12063;Republican;John Kasich;145;0.028999999999999998
Florida;FL;Liberty;12077;Republican;Donald Trump;160;0.444
Florida;FL;Pinellas;12103;Republican;Donald Trump;61133;0.46399999999999997
Florida;FL;Pinellas;12103;Republican;Ted Cruz;21984;0.16699999999999998
Florida;FL;Polk;12105;Republican;John Kasich;3835;0.052000000000000005
Florida;FL;Putnam;12107;Republican;John Kasich;290;0.032
Florida;FL;Taylor;12123;Republican;John Kasich;61;0.027000000000000003
Georgia;GA;Catoosa;13047;Democrat;Hillary Clinton;1082;0.508
Georgia;GA;Cherokee;13057;Democrat;Bernie Sanders;4438;0.47600000000000003
Georgia;GA;Colquitt;13071;Democrat;Bernie Sanders;302;0.222
Georgia;GA;Cook;13075;Democrat;Hillary Clinton;580;0.762
Georgia;GA;Dade;13083;Democrat;Hillary Clinton;241;0.503
Georgia;GA;Dooly;13093;Democrat;Bernie Sanders;91;0.109
Georgia;GA;Hall;13139;Democrat;Hillary Clinton;3482;0.603
Georgia;GA;Jasper;13159;Democrat;Bernie Sanders;133;0.171
Georgia;GA;Lanier;13173;Democrat;Bernie Sanders;69;0.225
Georgia;GA;Madison;13195;Democrat;Bernie Sanders;505;0.429
Georgia;GA;Madison;13195;Democrat;Hillary Clinton;656;0.557
Georgia;GA;Miller;13201;Democrat;Bernie Sanders;37;0.18
Georgia;GA;Rabun;13241;Democrat;Hillary Clinton;397;0.541
Georgia;GA;Screven;13251;Democrat;Hillary Clinton;771;0.8109999999999999
Georgia;GA;Baker;13007;Republican;Marco Rubio;42;0.09699999999999999
Georgia;GA;Butts;13035;Republican;Ted Cruz;1002;0.259
Georgia;GA;Chattahoochee;13053;Republican;Donald Trump;175;0.545
Georgia;GA;Colquitt;13071;Republican;John Kasich;199;0.033
Georgia;GA;Early;13099;Republican;Ted Cruz;225;0.166
Georgia;GA;Elbert;13105;Republican;Ted Cruz;716;0.23600000000000002
Georgia;GA;Evans;13109;Republican;Donald Trump;481;0.38
Georgia;GA;Jenkins;13165;Republican;Ben Carson;48;0.048
Georgia;GA;Laurens;13175;Republican;Marco Rubio;1284;0.184
Georgia;GA;Lowndes;13185;Republican;Ted Cruz;3127;0.266
Georgia;GA;Madison;13195;Republican;Ted Cruz;1578;0.28600000000000003
Georgia;GA;Morgan;13211;Republican;Marco Rubio;873;0.21
Georgia;GA;Murray;13213;Republican;Marco Rubio;673;0.125
Georgia;GA;Oglethorpe;13221;Republican;Ben Carson;197;0.07
Georgia;GA;Pulaski;13235;Republican;Ted Cruz;236;0.177
Georgia;GA;Rabun;13241;Republican;Marco Rubio;771;0.204
Georgia;GA;Sumter;13261;Republican;Marco Rubio;548;0.182
Georgia;GA;Towns;13281;Republican;Donald Trump;1356;0.46
Georgia;GA;Treutlen;13283;Republican;Donald Trump;437;0.542
Georgia;GA;Turner;13287;Republican;Donald Trump;652;0.569
Georgia;GA;Union;13291;Republican;Ted Cruz;1412;0.239
Georgia;GA;Walker;13295;Republican;Ted Cruz;2102;0.21100000000000002
Georgia;GA;White;13311;Republican;John Kasich;232;0.039
Georgia;GA;Wilkes;13317;Republican;Ben Carson;95;0.063
Georgia;GA;Wilkinson;13319;Republican;Marco Rubio;166;0.129
Hawaii;HI;Honolulu;15003;Democrat;Hillary Clinton;6686;0.368
Hawaii;HI;Kauai;15007;Democrat;Bernie Sanders;2049;0.7709999999999999
Idaho;ID;Bear Lake;16007;Democrat;Hillary Clinton;12;0.324
Idaho;ID;Canyon;16027;Democrat;Bernie Sanders;1312;0.818
Idaho;ID;Caribou;16029;Republican;John Kasich;87;0.064
Idaho;ID;Jerome;16053;Republican;Ted Cruz;1164;0.485
Idaho;ID;Shoshone;16079;Republican;Ted Cruz;591;0.38799999999999996
Idaho;ID;Twin Falls;16083;Republican;Marco Rubio;1202;0.125
Illinois;IL;Carroll;17015;Democrat;Hillary Clinton;625;0.488
Illinois;IL;DuPage;17043;Democrat;Hillary Clinton;59103;0.474
Illinois;IL;Edgar;17045;Democrat;Bernie Sanders;468;0.49700000000000005
Illinois;IL;Macoupin;17117;Democrat;Hillary Clinton;2770;0.429
Illinois;IL;McHenry;17111;Democrat;Bernie Sanders;15502;0.611
Illinois;IL;Peoria;17143;Democrat;Hillary Clinton;11341;0.52
Illinois;IL;Randolph;17157;Democrat;Hillary Clinton;1306;0.445
Illinois;IL;Winnebago;17201;Democrat;Bernie Sanders;16715;0.523
Illinois;IL;Adams;17001;Republican;Ted Cruz;4885;0.38
Illinois;IL;Alexander;17003;Republican;Marco Rubio;15;0.027999999999999997
Illinois;IL;Boone;17007;Republican;Donald Trump;3816;0.39399999999999996
Illinois;IL;Calhoun;17013;Republican;Ted Cruz;247;0.364
Illinois;IL;Clay;17025;Republican;Donald Trump;1294;0.48100000000000004
Illinois;IL;Clinton;17027;Republican;John Kasich;593;0.10300000000000001
Illinois;IL;Cumberland;17035;Republican;Ted Cruz;1081;0.40299999999999997
Illinois;IL;DeKalb;17037;Republican;Ted Cruz;4279;0.309
Illinois;IL;Johnson;17087;Republican;John Kasich;252;0.08
Illinois;IL;Kankakee;17091;Republican;John Kasich;2287;0.153
Illinois;IL;Lee;17103;Republican;Donald Trump;2153;0.348
Illinois;IL;McLean;17113;Republican;Ted Cruz;13085;0.41600000000000004
Illinois;IL;Saline;17165;Republican;Marco Rubio;225;0.053
Illinois;IL;Vermilion;17183;Republican;Donald Trump;5021;0.446
Illinois;IL;Wabash;17185;Republican;Donald Trump;977;0.424
Illinois;IL;Warren;17187;Republican;John Kasich;692;0.22699999999999998
Illinois;IL;Warren;17187;Republican;Marco Rubio;231;0.076
Illinois;IL;Warren;17187;Republican;Ted Cruz;985;0.32299999999999995
Illinois;IL;Wayne;17191;Republican;Marco Rubio;193;0.046
Indiana;IN;Owen;18119;Democrat;Hillary Clinton;631;0.374
Indiana;IN;Starke;18149;Democrat;Bernie Sanders;1277;0.5479999999999999
Indiana;IN;Switzerland;18155;Democrat;Bernie Sanders;410;0.488
Indiana;IN;Tipton;18159;Democrat;Bernie Sanders;606;0.581
Indiana;IN;Union;18161;Democrat;Bernie Sanders;205;0.5
Indiana;IN;Clinton;18023;Republican;John Kasich;474;0.07200000000000001
Indiana;IN;DeKalb;18033;Republican;Ted Cruz;3748;0.425
Indiana;IN;Floyd;18043;Republican;Donald Trump;7456;0.557
Indiana;IN;Fountain;18045;Republican;Ted Cruz;1301;0.292
Indiana;IN;Lake;18089;Republican;Donald Trump;28577;0.642
Indiana;IN;Lake;18089;Republican;John Kasich;2974;0.067
Indiana;IN;Madison;18095;Republican;Donald Trump;12487;0.561
Indiana;IN;Martin;18101;Republican;Donald Trump;1398;0.615
Indiana;IN;Orange;18117;Republican;Donald Trump;2574;0.605
Indiana;IN;Putnam;18133;Republican;Ted Cruz;2737;0.375
Indiana;IN;Spencer;18147;Republican;Ted Cruz;1378;0.33299999999999996
Indiana;IN;Warren;18171;Republican;John Kasich;114;0.055
Indiana;IN;Washington;18175;Republican;Ted Cruz;1542;0.304
Iowa;IA;Benton;19011;Democrat;Bernie Sanders;528;0.44
Iowa;IA;Clayton;19043;Democrat;Martin O'Malley;0;0.0
Iowa;IA;Dickinson;19059;Democrat;Martin O'Malley;0;0.0
Iowa;IA;Dubuque;19061;Democrat;Hillary Clinton;2504;0.522
Iowa;IA;Hardin;19083;Democrat;Bernie Sanders;296;0.423
Iowa;IA;Harrison;19085;Democrat;Martin O'Malley;0;0.0
Iowa;IA;Henry;19087;Democrat;Martin O'Malley;0;0.0
Iowa;IA;Louisa;19115;Democrat;Hillary Clinton;224;0.56
Iowa;IA;Muscatine;19139;Democrat;Uncommitted;0;0.0
Iowa;IA;Plymouth;19149;Democrat;Bernie Sanders;312;0.446
Iowa;IA;Plymouth;19149;Democrat;Martin O'Malley;0;0.0
Iowa;IA;Poweshiek;19157;Democrat;Hillary Clinton;424;0.47200000000000003
Iowa;IA;Scott;19163;Democrat;Bernie Sanders;4144;0.505
Iowa;IA;Van Buren;19177;Democrat;Uncommitted;0;0.0
Iowa;IA;Washington;19183;Democrat;Martin O'Malley;0;0.0
Iowa;IA;Audubon;19009;Republican;Carly Fiorina;4;0.011000000000000001
Iowa;IA;Bremer;19017;Republican;Chris Christie;16;0.011000000000000001
Iowa;IA;Bremer;19017;Republican;Ted Cruz;408;0.27399999999999997
Iowa;IA;Buchanan;19019;Republican;Chris Christie;15;0.018000000000000002
Iowa;IA;Buchanan;19019;Republican;Mike Huckabee;15;0.018000000000000002
Iowa;IA;Carroll;19027;Republican;Chris Christie;7;0.006999999999999999
Iowa;IA;Cedar;19031;Republican;Ben Carson;100;0.09300000000000001
Iowa;IA;Clarke;19039;Republican;Mike Huckabee;8;0.013999999999999999
Iowa;IA;Clinton;19045;Republican;Mike Huckabee;15;0.006999999999999999
Iowa;IA;Crawford;19047;Republican;Mike Huckabee;7;0.01
Iowa;IA;Dallas;19049;Republican;Rick Santorum;58;0.008
Iowa;IA;Davis;19051;Republican;Jeb Bush;10;0.019
Iowa;IA;Delaware;19055;Republican;Rand Paul;27;0.03
Iowa;IA;Des Moines;19057;Republican;Ben Carson;212;0.098
Iowa;IA;Fremont;19071;Republican;Rand Paul;11;0.026000000000000002
Iowa;IA;Greene;19073;Republican;Chris Christie;13;0.024
Iowa;IA;Grundy;19075;Republican;Donald Trump;198;0.209
Iowa;IA;Hancock;19081;Republican;Jeb Bush;22;0.026000000000000002
Iowa;IA;Hardin;19083;Republican;Marco Rubio;225;0.177
Iowa;IA;Humboldt;19091;Republican;Jeb Bush;14;0.023
Iowa;IA;Humboldt;19091;Republican;John Kasich;3;0.005
Iowa;IA;Lucas;19117;Republican;Mike Huckabee;18;0.031
Iowa;IA;Lyon;19119;Republican;Ben Carson;206;0.18600000000000003
Iowa;IA;Madison;19121;Republican;Mike Huckabee;34;0.025
Iowa;IA;Marion;19125;Republican;Marco Rubio;606;0.21100000000000002
Iowa;IA;Marshall;19127;Republican;Marco Rubio;502;0.21600000000000003
Iowa;IA;Marshall;19127;Republican;Rick Santorum;55;0.024
Iowa;IA;Mitchell;19131;Republican;Chris Christie;4;0.008
Iowa;IA;Monroe;19135;Republican;Mike Huckabee;18;0.033
Iowa;IA;O'Brien;19141;Republican;Donald Trump;256;0.21
Iowa;IA;Osceola;19143;Republican;John Kasich;1;0.003
Iowa;IA;Palo Alto;19147;Republican;Rand Paul;15;0.035
Iowa;IA;Pottawattamie;19155;Republican;Carly Fiorina;80;0.018000000000000002
Iowa;IA;Wayne;19185;Republican;Rand Paul;3;0.006999999999999999
Iowa;IA;Winnebago;19189;Republican;Donald Trump;115;0.18600000000000003
Iowa;IA;Worth;19195;Republican;Ben Carson;25;0.067
Iowa;IA;Wright;19197;Republican;Mike Huckabee;15;0.027000000000000003
Kansas;KS;Congressional District 1;92000106;Democrat;Bernie Sanders;4074;0.69
Kentucky;KY;Anderson;21005;Democrat;Bernie Sanders;1649;0.524
Kentucky;KY;Butler;21031;Democrat;Bernie Sanders;196;0.42100000000000004
Kentucky;KY;Floyd;21071;Democrat;Hillary Clinton;2327;0.314
Kentucky;KY;Hardin;21093;Democrat;Hillary Clinton;4359;0.478
Kentucky;KY;Jessamine;21113;Democrat;Hillary Clinton;1875;0.442
Kentucky;KY;Lyon;21143;Democrat;Hillary Clinton;497;0.405
Kentucky;KY;Madison;21151;Democrat;Bernie Sanders;4385;0.53
Kentucky;KY;Meade;21163;Democrat;Hillary Clinton;1312;0.419
Kentucky;KY;Ballard;21007;Republican;Ted Cruz;164;0.514
Kentucky;KY;Breathitt;21025;Republican;John Kasich;6;0.037000000000000005
Kentucky;KY;Bullitt;21029;Republican;Marco Rubio;594;0.135
Kentucky;KY;Clark;21049;Republican;Ted Cruz;725;0.332
Kentucky;KY;Fleming;21069;Republican;Marco Rubio;81;0.10400000000000001
Kentucky;KY;Gallatin;21077;Republican;Marco Rubio;25;0.086
Kentucky;KY;Green;21087;Republican;Ted Cruz;333;0.247
Kentucky;KY;Hardin;21093;Republican;John Kasich;620;0.127
Kentucky;KY;Jefferson;21111;Republican;John Kasich;5553;0.16399999999999998
Kentucky;KY;LaRue;21123;Republican;John Kasich;76;0.10300000000000001
Kentucky;KY;Leslie;21131;Republican;Ted Cruz;267;0.257
Kentucky;KY;Lyon;21143;Republican;Donald Trump;151;0.345
Kentucky;KY;Magoffin;21153;Republican;Marco Rubio;75;0.145
Kentucky;KY;Menifee;21165;Republican;Donald Trump;96;0.449
Kentucky;KY;Nicholas;21181;Republican;Marco Rubio;19;0.131
Kentucky;KY;Pulaski;21199;Republican;Marco Rubio;782;0.11599999999999999
Louisiana;LA;DeSoto;22031;Democrat;Hillary Clinton;1508;0.7709999999999999
Louisiana;LA;Evangeline;22039;Democrat;Hillary Clinton;1319;0.631
Louisiana;LA;Franklin;22041;Democrat;Hillary Clinton;650;0.655
Louisiana;LA;Morehouse;22067;Democrat;Bernie Sanders;298;0.155
Louisiana;LA;Natchitoches;22069;Democrat;Hillary Clinton;2545;0.6809999999999999
Louisiana;LA;St. Martin;22099;Democrat;Hillary Clinton;1869;0.665
Louisiana;LA;Vernon;22115;Democrat;Bernie Sanders;441;0.358
Louisiana;LA;Avoyelles;22009;Republican;Ted Cruz;455;0.292
Louisiana;LA;Lafayette;22055;Republican;Donald Trump;7171;0.40700000000000003
Louisiana;LA;Lafourche;22057;Republican;Marco Rubio;753;0.129
Louisiana;LA;Morehouse;22067;Republican;Marco Rubio;132;0.081
Louisiana;LA;Pointe Coupee;22077;Republican;Donald Trump;472;0.447
Louisiana;LA;Richland;22083;Republican;Marco Rubio;87;0.065
Louisiana;LA;St. Charles;22089;Republican;Ted Cruz;1355;0.342
Louisiana;LA;St. Helena;22091;Republican;Donald Trump;275;0.489
Louisiana;LA;St. James;22093;Republican;Marco Rubio;64;0.102
Louisiana;LA;Vernon;22115;Republican;Ted Cruz;1075;0.41600000000000004
Louisiana;LA;Webster;22119;Republican;Donald Trump;1131;0.395
Louisiana;LA;West Carroll;22123;Republican;John Kasich;28;0.035
